MP_PT,AU_Substance_SCTID,Int_Substance_SCTID
perfluorohexyloctane + polydimethyl siloxane,86574011000036106 + 86573011000036109,
paracetamol + dextromethorphan + phenylephrine + chlorphenamine,2442011000036104 + 31105011000036100 + 2476011000036101 + 30971011000036102,
osimertinib,886381000168103,716032009
lixisenatide,172511000036109,708808004
ashwagandha extract + Siberian ginseng extract + Korean ginseng extract,1380481000168107 + 1380491000168105 + 1379591000168109,None + 412395006 + 412395006
indacaterol + glycopyrronium,927561011000036105 + 167441000036104,702801003 + 769097000
benzyl benzoate,1848011000036107,387263009
sodium oxidronate,1210491000168103,
macitentan,655011000168100,710283008
tiotropium + olodaterol,2664011000036101 + 172491000036100,
calcium + colecalciferol + menaquinone-7,1893011000036105 + 1981011000036104 + 1205691000168107,767178007 + 18414002 + 1222981000168103
patent blue V,31713011000036108,228082001
pneumococcal 7 valent conjugate vaccine,826021000168106,714078004
trametinib,674801000168106,708711009
bupivacaine + glucose,30869011000036103 + 2173011000036106,387150008 + 67079006
dextromethorphan + phenylephrine,31105011000036100 + 2476011000036101,387114001 + 372771005
influenza quadrivalent adjuvanted vaccine 2020,1123611000168108,260210008
methyl salicylate + menthol,2792011000036101 + 2313011000036108,386988003 + 387414008
pholcodine + bromhexine,2480011000036105 + 30860011000036109,
defibrotide,1345851000168100,442263003
camphor + eucalyptus oil + menthol + wool fat,30895011000036103 + 2775011000036103 + 2313011000036108 + 32154011000036107,111136003 + 12510000 + 387414008 + 35605007
guaifenesin + dextromethorphan,31323011000036100 + 31105011000036100,87174009 + 387114001
heparinoids,31336011000036109,372637006
magnesium + passiflora incarnata extract + balm leaf extract + glycine,2297011000036108 + 1180481000168102 + 1293951000168107 + 2177011000036102,72717003 + 412265001 + 766800006 + 15331006
melaleuca oil,31547011000036109,412518008
nortriptyline,2402011000036108,372652004
ephedrine,31179011000036105,387358007
dressing non-adherent with silicone,84748011000036108,13652007
bandage retention cotton crepe,48151011000036100,89889006
gadoxetic acid,31275011000036105,416459001
bicisate dihydrochloride,30835011000036107,711296000
retinol acetate + betacarotene + colecalciferol + phytomenadione + pantothenic acid + thiamine + nicotinamide + riboflavin + pyridoxine + cyanocobalamin + biotin + folic acid + dl-alpha-tocopheryl acetate + ascorbic acid + calcium + magnesium + iron + zinc + manganese + chromium + selenium + copper + molybdenum + iodine,31867011000036101 + 30824011000036106 + 1981011000036104 + 31759011000036100 + 31697011000036106 + 2643011000036109 + 31624011000036109 + 31873011000036103 + 2532011000036107 + 1985011000036102 + 30839011000036109 + 2140011000036102 + 809501000168108 + 30781011000036102 + 1893011000036105 + 2297011000036108 + 2239011000036109 + 2718011000036102 + 31529011000036100 + 30978011000036106 + 2762011000036104 + 31033011000036104 + 31598011000036103 + 1889011000036109,
dressing hydroactive cavity wound,48175011000036100,
desflurane,31090011000036103,386841003
Mycobacterium bovis BCG Danish strain,1599981000168107,409159000
fructose + glucose + phosphoric acid,31259011000036109 + 2173011000036106 + 31754011000036101,58202007 + 67079006 + 58345003
thiamine + riboflavin + nicotinamide + pantothenic acid + pyridoxine + folinic acid + levomefolic acid + mecobalamin (co-methylcobalamin) + hydroxocobalamin + biotin + choline + inositol,2643011000036109 + 31873011000036103 + 31624011000036109 + 31697011000036106 + 2532011000036107 + 2745011000036104 + 1340161000168104 + 1180421000168101 + 2200011000036105 + 30839011000036109 + 30973011000036101 + 31405011000036101,
follitropin alfa + lutropin alfa,2141011000036109 + 31503011000036105,395862009 + 415248001
aclidinium + formoterol (eformoterol),652791000168100 + 2067011000036104,703921008 + 414289007
pentoxyverine citrate,31731011000036103,703555004
medium chain triglycerides,48218011000036102,395781005
picosulfate + magnesium oxide + citric acid,64913011000036102 + 31516011000036101 + 1956011000036104,
ethanol + triclosan,31199011000036100 + 32089011000036106,419442005 + 387054001
turmeric extract + black pepper extract,1177451000168100 + 1351611000168101,
norethisterone + mestranol,2399011000036107 + 2317011000036104,126102009 + 395785001
lithium carbonate,2288011000036108,387095003
naphazoline + antazoline,2378011000036105 + 1807011000036103,372803000 + 373544004
pertuzumab,123611000036101,704226002
liquid paraffin + white soft paraffin,2819011000036108 + 31704011000036108,255667006 + 419633007
coal tar solution + dimeticone + zinc oxide,2835011000036103 + 2026011000036106 + 2719011000036105,53034005 + 396031000 + 42841002
lubricating agent,48190011000036102,
ciclopirox,1943011000036107,372854000
phenylephrine + ibuprofen,2476011000036101 + 2211011000036101,
clostridium botulinum type A toxin-haemagglutinin complex,1974011000036105,
bandage retention cohesive light,48150011000036107,
cetuximab,2738011000036106,409400001
colchicine,1980011000036106,387413002
dihydroergotamine,2022011000036107,387267005
abatacept,32945011000036106,421777009
dressing foam heavy exudate,48169011000036106,412148004
hypromellose + carbomer-980,2209011000036104 + 35410011000036107,412410003 + 395853007
clomipramine,1967011000036105,372903001
fluticasone furoate,927551011000036103,426409006
tropicamide,32102011000036109,387526001
monobasic sodium phosphate + dibasic sodium phosphate,1097761000168108 + 894351000168102,116124008 + 782150008
crisaborole,1397921000168100,724007009
rotavirus live vaccine,822851000168106,121000004
glycomacropeptide and essential amino acids,123551000036101,
pyridoxine,2532011000036107,430469009
influenza trivalent vaccine 2007,30656011000036109,260210008
ethanol + iodine + triclosan,31199011000036100 + 1889011000036109 + 32089011000036106,419442005 + 44588005 + 387054001
influenza vaccine pandemic 2009,80091011000036109,260210008
ozanimod,1499521000168105,870525003
perampanel,672541000168102,703127006
ascorbic acid + citrus bioflavonoids extract + rutoside + hesperidin + Rosa canina extract + acerola extract,30781011000036102 + 30998011000036100 + 31902011000036106 + 31339011000036100 + 1157431000168108 + 75896011000036109,"43706004 + 72309009,102259006 + 68077006 + 412203006 + 710226003 + 876835008"
tape plaster adhesive with silicone,84749011000036100,
tetracosactide (tetracosactrin),2640011000036101,96363002
zinc + magnesium + thiamine + riboflavin,2718011000036102 + 2297011000036108 + 2643011000036109 + 31873011000036103,
fluticasone furoate + vilanterol,927551011000036103 + 677431000168105,426409006 + 702408004
dressing film island,48164011000036105,
Lactobacillus plantarum,143151000036109,669481000168105
macrogol-3350 + sodium chloride + potassium chloride,2799011000036106 + 2591011000036106 + 2500011000036101,712566007 + 387390002 + 8631001
mefloquine,31541011000036101,387505001
opicapone,1502501000168103,720356008
ribociclib,1157411000168103,732257004
tar + coal tar solution + salicylic acid,2617011000036106 + 2835011000036103 + 2574011000036101,
ethanol 90%,51922011000036108,419442005
chlorhexidine + fluoride,1933011000036106 + 31250011000036103,373568007 + 372639009
iopamidol,31417011000036109,395754005
cortisone,1983011000036103,32498003
turmeric extract + black myrobalan extract,1177451000168100 + 1468661000168109,
terlipressin,83911000036106,395899009
silver sulfadiazine + chlorhexidine,2781011000036108 + 1933011000036106,
dressing hydrocolloid cavity wound,48180011000036103,
beclometasone + formoterol (eformoterol) + glycopyrronium,1835011000036102 + 2067011000036104 + 167441000036104,116574000 + 414289007 + 769097000
miconazole + zinc oxide,2345011000036100 + 2719011000036105,372738006 + 42841002
amifostine,30725011000036108,386923005
budesonide + glycopyrronium + formoterol (eformoterol),1879011000036103 + 167441000036104 + 2067011000036104,395726003 + 769097000 + 414289007
ganirelix,31278011000036104,395728002
insulin degludec + liraglutide,1168621000168103 + 97571000036102,710281005 + 444828003
vonicog alfa,1493751000168108,1497941000168104
sorafenib,31963011000036103,422042001
dl-alpha-tocopherol + ascorbic acid + biotin + calcium hydrogen phosphate + colecalciferol + copper sulfate + cyanocobalamin + ferrous fumarate + folic acid + magnesium oxide light + magnesium phosphate dibasic trihydrate + manganese sulfate monohydrate + nicotinamide + calcium pantothenate + pyridoxine + riboflavin + thiamine + zinc sulfate monohydrate,30703011000036100 + 30781011000036102 + 30839011000036109 + 30888011000036108 + 1981011000036104 + 31052011000036107 + 1985011000036102 + 2237011000036102 + 2140011000036102 + 31518011000036102 + 31520011000036106 + 31534011000036104 + 31624011000036109 + 31695011000036101 + 2532011000036107 + 31873011000036103 + 2643011000036109 + 7589201100003610,259666007 + 43706004 + 8919000 + 22362000 + 18414002 + 70168001 + 419382002 + 387289009 + 63718003 + 66389008 + 733746000 + 725799003 + 173196005 + 126225001 + 430469009 + 13235001 + 61768002 + 395925008
eptacog alfa (activated),31181011000036103,116066006
indacaterol + glycopyrronium + mometasone,927561011000036105 + 167441000036104 + 2356011000036109,702801003 + 769097000 + 395990009
benzalkonium chloride + ethanol,2843011000036103 + 31199011000036100,64686009 + 419442005
bilberry extract,1336651000168105,227417005
edetic acid,31170011000036104,69519002
calcium chloride,1895011000036106,387377009
mecasermin,1498841000168109,418157000
sulthiame,2609011000036101,50580004
picosulfate,64913011000036102,395881001
retinol acetate + betacarotene + colecalciferol + lutein + lycopene + phytomenadione + pantothenic acid + thiamine + nicotinamide + riboflavin + pyridoxine + cyanocobalamin + biotin + folic acid + dl-alpha-tocopherol + ascorbic acid + calcium + magnesium + iron + zinc + manganese + chromium + selenium + copper + iodine + phosphorus + potassium,31867011000036101 + 30824011000036106 + 1981011000036104 + 730581000168103 + 730591000168100 + 31759011000036100 + 31697011000036106 + 2643011000036109 + 31624011000036109 + 31873011000036103 + 2532011000036107 + 1985011000036102 + 30839011000036109 + 2140011000036102 + 30703011000036100 + 30781011000036102 + 1893011000036105 + 2297011000036108 + 2239011000036109 + 2718011000036102 + 31529011000036100 + 30978011000036106 + 2762011000036104 + 31033011000036104 + 1889011000036109 + 2758011000036107 + 2497011000036107,
ceramide NP + ceramide AP + hyaluronic acid + ceramide EOP,1602631000168102 + 1602641000168106 + 1143641000168105 + 1602651000168108,37112001 + 37112001 + 38218009 + 37112001
prilocaine,31811011000036105,387107003
framycetin sulfate + gramicidin + dexamethasone,2850011000036108 + 2181011000036102 + 2007011000036103,442008002 + 387524003 + 372584003
Saccharomyces boulardii,1419421000168107,700441006
magnesium carbonate + citric acid,867241000168101 + 1956011000036104,387401007 + 75399008
lidocaine (lignocaine) + adrenaline (epinephrine),2277011000036104 + 1767011000036101,387480006 + 387362001
glucarpidase,1468431000168104,716225006
simeprevir,673351000168104,708823009
rutoside + magnesium oxide heavy + feverfew + copper + calcium pantothenate + nicotinamide + thiamine + d-alpha-tocopheryl acid succinate + colecalciferol,31902011000036106 + 31517011000036103 + 32015011000036107 + 31033011000036104 + 31695011000036101 + 31624011000036109 + 2643011000036109 + 31076011000036108 + 1981011000036104,
plerixafor,922899011000036108,442264009
retinol acetate + riboflavin + pantothenic acid + pyridoxine + cyanocobalamin + ascorbic acid + colecalciferol + thiamine + nicotinamide + dl-alpha-tocopherol + folic acid + calcium + chromium + copper + iron + iodine + magnesium + manganese + molybdenum + potassium + selenium + zinc,31867011000036101 + 31873011000036103 + 31697011000036106 + 2532011000036107 + 1985011000036102 + 30781011000036102 + 1981011000036104 + 2643011000036109 + 31624011000036109 + 30703011000036100 + 2140011000036102 + 1893011000036105 + 30978011000036106 + 31033011000036104 + 2239011000036109 + 1889011000036109 + 2297011000036108 + 31529011000036100 + 31598011000036103 + 2497011000036107 + 2762011000036104 + 2718011000036102,
fluoride,31250011000036103,372639009
salicylic acid + benzalkonium chloride + ethanol,2574011000036101 + 2843011000036103 + 31199011000036100,
Lactobacillus rhamnosus + Lactobacillus casei + Lactobacillus acidophilus + Lactobacillus plantarum + Lactobacillus fermentum + Bifidobacterium animalis + Bifidobacterium breve + Bifidobacterium bifidum + Streptococcus thermophilus,1192731000168108 + 1348541000168105 + 31460011000036109 + 143151000036109 + 1499111000168105 + 920898011000036106 + 1348241000168108 + 1340721000168105 + 1499121000168103,412234005 + 710318008 + 16744007 + 669481000168105 + 710318008 + None + None + 703929005 + None
sulindac,2608011000036109,387513000
glycerol + light liquid paraffin,2175011000036107 + 2818011000036100,80582002 + 713361007
dl-alpha-tocopherol + ascorbic acid + biotin + calcium carbonate + colecalciferol + copper gluconate + cyanocobalamin + ferrous sulfate + folic acid + magnesium phosphate dibasic trihydrate + manganese sulfate monohydrate + nicotinamide + calcium pantothenate + pyridoxine + riboflavin + monophosphothiamine + zinc sulfate monohydrate,30703011000036100 + 30781011000036102 + 30839011000036109 + 1894011000036107 + 1981011000036104 + 31035011000036103 + 1985011000036102 + 31232011000036100 + 2140011000036102 + 31520011000036106 + 31534011000036104 + 31624011000036109 + 31695011000036101 + 2532011000036107 + 31873011000036103 + 32048011000036109 + 75892011000036105,259666007 + 43706004 + 8919000 + 387307005 + 18414002 + 442252001 + 419382002 + 387402000 + 63718003 + 733746000 + 725799003 + 173196005 + 126225001 + 430469009 + 13235001 + 259660001 + 395925008
lepirudin,31473011000036108,386955005
nitrous oxide,31633011000036109,111132001
menthol + Scotch pine needle oil + pine oil pumilio + terpineol,2313011000036108 + 31762011000036100 + 31764011000036109 + 32031011000036101,387414008 + 36235004 + 32050003 + 28823005
hyaluronate sodium,77661000036104,387578003
trifarotene,1529371000168104,818968008
almond oil + zinc oxide,30699011000036107 + 2719011000036105,391737006 + 42841002
bandage tubular light weight,48154011000036102,
dihydrocodeine,31123011000036108,387322000
Agrostis tenuis pollen extract + Cynodon dactylon pollen extract + Bromus inermis pollen extract + Dactylis glomerata pollen extract + Festuca elatior pollen extract + Poa pratensis pollen extract + Arrhenatherum elatius pollen extract + Lolium perenne pollen extract + Anthoxanthum odoratum pollen extract + Phleum pratense pollen extract + Avena fatua pollen extract + Holcus lanatus pollen extract,1153881000168104 + 768821000168109 + 1134751000168104 + 768831000168107 + 768801000168100 + 1153671000168101 + 768791000168101 + 1153861000168108 + 768811000168102 + 1153661000168107 + 1153891000168101 + 1153871000168102,260093004 + 260089005 + 411779006 + 256284001 + 256279007 + 256286004 + None + 256280005 + 256277009 + 256281009 + 418504009 + 256282002
pholcodine + phenylephrine + chlorphenamine + ammonium chloride,2480011000036105 + 2476011000036101 + 30971011000036102 + 30734011000036106,
ashwagandha extract + Siberian ginseng extract + Korean ginseng extract + rose root extract + Schisandra extract,1380481000168107 + 1380491000168105 + 1379591000168109 + 1382831000168109 + 1382841000168100,None + 412395006 + 412395006 + None + None
quinine,2541011000036100,373497008
clonidine,1970011000036100,372805007
garlic extract,1339901000168108,735030001
coal tar,1977011000036104,53034005
codeine + aluminium hydroxide + light kaolin + pectin,1978011000036103 + 1781011000036107 + 31449011000036105 + 31717011000036104,387494007 + 273944007 + 713362000 + 55946005
paraffin,2443011000036106,255667006
salicylic acid + zinc oxide,2574011000036101 + 2719011000036105,
cystine with carbohydrate,48209011000036108,"37927000,2331003"
"amino acid formula with fat, carbohydrate, vitamins, minerals and long chain polyunsaturated fatty acids without phenylalanine and supplemented with docosahexaenoic acid",807731000168103,"52518006,2331003"
nilutamide,2395011000036105,96372005
activated charcoal,2794011000036105,32519007
clove bud oil,31010011000036102,227389000
ferrous fumarate + folic acid,2237011000036102 + 2140011000036102,387289009 + 63718003
conjugated estrogens + medroxyprogesterone,2413011000036104 + 2306011000036100,126098001 + 126113007
C1 esterase inhibitor,85239011000036101,34737006
avelumab,1097371000168101,733055009
dinoprostone,31133011000036105,387245009
retinol palmitate + colecalciferol + dl-alpha-tocopherol + ascorbic acid + cocarboxylase + riboflavin + pyridoxine + cyanocobalamin + folic acid + dexpanthenol + biotin + nicotinamide,31868011000036100 + 1981011000036104 + 30703011000036100 + 30781011000036102 + 31014011000036107 + 31873011000036103 + 2532011000036107 + 1985011000036102 + 2140011000036102 + 31101011000036102 + 30839011000036109 + 31624011000036109,
sodium chloride + potassium acetate + magnesium acetate + glucose,2591011000036106 + 31795011000036105 + 1419401000168103 + 2173011000036106,
light kaolin + opium tincture,31449011000036105 + 51921011000036102,713362000 + 37451001
paritaprevir + ritonavir + ombitasvir,722991000168105 + 2564011000036107 + 723001000168106,
dasabuvir,725991000168100,714104000
brinzolamide,1875011000036100,386925003
potassium citrate,950191000168104,387450001
ornipressin,31659011000036106,703839000
benzoin Sumatra + storax prepared + Aloes cape,30817011000036109 + 31989011000036102 + 688231000168103,387484002 + 256191007 + 391739009
antithymocyte immunoglobulin equine,73638011000036103,768652001
prednisone,2509011000036107,116602009
atezolizumab,1028141000168104,719371003
dextromethorphan + pseudoephedrine,31105011000036100 + 2525011000036101,387114001 + 372900003
mepivacaine + adrenaline (epinephrine),31561011000036105 + 1767011000036101,59560006 + 387362001
rasburicase,31859011000036103,395858003
bupropion,1882011000036104,387564004
docusate + sorbitol,2044011000036100 + 2595011000036108,418700002 + 19839007
ipratropium + salbutamol,2229011000036107 + 2571011000036104,372518007 + 372897005
dressing foam lipidocolloid with silicone heavy exudate,,
refined coal tar,31012011000036103,53034005
cemiplimab,1506841000168100,781555007
crizanlizumab,1541481000168105,830160007
dill seed oil + meadowsweet extract,1449381000168105 + 1449391000168108,82322007 + None
agalsidase alfa,30674011000036103,424905009
alteplase,30707011000036109,387152000
coal tar solution + phenol + precipitated sulfur,2835011000036103 + 2470011000036104 + 2825011000036100,53034005 + 116613007 + 25818006
tibolone,32062011000036103,395903002
polatuzumab vedotin,1424901000168104,788328006
chlorphenamine + dextromethorphan + pseudoephedrine,30971011000036102 + 31105011000036100 + 2525011000036101,372914003 + 387114001 + 372900003
trastuzumab deruxtecan,1598591000168109,838469001
calcium + colecalciferol + cupric oxide + magnesium oxide + manganese sulfate monohydrate + zinc oxide,1893011000036105 + 1981011000036104 + 31051011000036101 + 31516011000036101 + 31534011000036104 + 2719011000036105,767178007 + 18414002 + 64039006 + 66389008 + 725799003 + 42841002
ofatumumab,682811000168109,444607009
lipase + protease + alpha amylase,2284011000036101 + 2524011000036100 + 2726011000036109,72993008 + 130202003 + 3340007
nonivamide + nicoboxil,31635011000036105 + 30875011000036109,703838008 + None
fluorouracil + salicylic acid,2124011000036109 + 2574011000036101,387172005 + 387253001
globe artichoke extract + St Mary's thistle extract + turmeric extract,1423091000168109 + 1293941000168105 + 1177451000168100,227216004 + 720488001 + 227414003
mannitol,31535011000036100,387168006
amino acid formula with vitamins and minerals without lysine and low in tryptophan,48195011000036106,52518006
ascorbic acid + biotin + calcium hydrogen phosphate + cyanocobalamin + d-alpha-tocopheryl acid succinate + ferrous fumarate + folic acid + iodine + magnesium oxide heavy + manganese sulfate monohydrate + nicotinamide + calcium pantothenate + pyridoxine + riboflavin + thiamine + zinc sulfate monohydrate,30781011000036102 + 30839011000036109 + 30888011000036108 + 1985011000036102 + 31076011000036108 + 2237011000036102 + 2140011000036102 + 1889011000036109 + 31517011000036103 + 31534011000036104 + 31624011000036109 + 31695011000036101 + 2532011000036107 + 31873011000036103 + 2643011000036109 + 75892011000036105,43706004 + 8919000 + 22362000 + 419382002 + 116776001 + 387289009 + 63718003 + 44588005 + 66389008 + 725799003 + 173196005 + 126225001 + 430469009 + 13235001 + 61768002 + 395925008
hexaminolevulinate,886351000168105,769100005
decitabine + cedazuridine,1507271000168108 + 1507281000168106,420759005 + 890332002
eucalyptus oil + menthol liquid + methyl salicylate,2775011000036103 + 31559011000036104 + 2792011000036101,12510000 + 387414008 + 386988003
streptokinase,31991011000036102,395889004
trimethoprim,2691011000036102,387179001
liquorice extract + British yellowhead extract + Korean ginseng extract + ban xia extract + ginger extract + jujube extract,1293981000168100 + 1380301000168107 + 1379591000168109 + 1380311000168105 + 1380211000168102 + 1380221000168109,31347007 + None + 412395006 + None + 227400003 + None
penciclovir,31719011000036106,386939003
glutaral,31298011000036105,70237008
ropivacaine + fentanyl,31884011000036105 + 2108011000036105,
etidronate disodium,2037011000036107,387581008
povidone-iodine + ethanol + lauromacrogol-400,2813011000036105 + 31199011000036100 + 31470011000036100,
clofarabine,922895011000036106,413873006
"amino acid formula with vitamins, minerals, fibre and docosahexaenoic acid without phenylalanine",702741000168106,52518006
betacarotene + retinol acetate + colecalciferol + dl-alpha-tocopherol + thiamine + riboflavin + nicotinamide + calcium pantothenate + pyridoxine + folic acid + cyanocobalamin + ascorbic acid + biotin + phytomenadione + iron + calcium + magnesium + zinc + iodine + potassium + copper + chromium + manganese + phosphorus + molybdenum + chloride + selenium,30824011000036106 + 31867011000036101 + 1981011000036104 + 30703011000036100 + 2643011000036109 + 31873011000036103 + 31624011000036109 + 31695011000036101 + 2532011000036107 + 2140011000036102 + 1985011000036102 + 30781011000036102 + 30839011000036109 + 31759011000036100 + 2239011000036109 + 1893011000036105 + 2297011000036108 + 2718011000036102 + 1889011000036109 + 2497011000036107 + 31033011000036104 + 30978011000036106 + 31529011000036100 + 2758011000036107 + 31598011000036103 + 1935011000036107 + 2762011000036104,103068006 + 421621000 + 18414002 + 259666007 + 61768002 + 13235001 + 173196005 + 126225001 + 430469009 + 63718003 + 419382002 + 43706004 + 8919000 + 66656000 + 3829006 + 767178007 + 72717003 + 86739005 + 44588005 + 88480006 + 66925006 + 111070004 + 87869004 + 30820000 + 71128006 + 50213009 + 22038003
ganciclovir,2158011000036103,372848001
procaine benzylpenicillin (procaine penicillin),2800011000036100,387246005
alclometasone dipropionate,962991000168109,38684009
estriol,2412011000036106,73723004
aprotinin + calcium chloride + factor XIII + fibrinogen + fibronectin + human thrombin,30759011000036106 + 1895011000036106 + 31222011000036103 + 31235011000036108 + 31236011000036101 + 32054011000036104,386961008 + 387377009 + 51161000 + 418326009 + 69313002 + 691831000168108
darolutamide,1493221000168105,789148001
amifampridine,1450071000168104,422654000
dressing hydropolymer high exudate semi-permeable non-adherent adhesive absorbent foam,117961000036107,
tetrabenazine,2639011000036106,363581004
osilodrostat,,
dienogest + ethinylestradiol,31117011000036108 + 2096011000036104,703097002 + 126097006
s-adenosylmethionine + cyanocobalamin + riboflavin + zinc + folic acid + pyridoxine,1184181000168103 + 1985011000036102 + 31873011000036103 + 2718011000036102 + 2140011000036102 + 2532011000036107,
olanzapine pamoate,1550841000168105,735189005
cabazitaxel,39991000036107,446706007
phentolamine,31747011000036105,372863003
urea (14C),32121011000036108,395919009
ixekizumab,871161000168106,724037000
homosalate + octocrylene + octyl salicylate + butyl methoxydibenzoylmethane,75895011000036102 + 2405011000036100 + 2755011000036101 + 1887011000036102,60135007 + 69296007 + 29622009 + 256171000
retinol acetate + d-alpha-tocopherol + colecalciferol + thiamine + riboflavin + nicotinamide + pantothenic acid + pyridoxine + cyanocobalamin + biotin + folic acid + phytomenadione + ascorbic acid + citrus bioflavonoids extract + calcium + magnesium + selenium + molybdenum + chromium + manganese + iron + copper + zinc + iodine + silicon + soy phosphatidylserine-enriched soy lecithin powder + ubidecarenone + spearmint oil + lutein + skullcap extract + nettle extract + black cohosh extract + ashwagandha extract + English hawthorn extract + cranberry extract + globe artichoke extract + brahmi extract + grape seed extract + ginkgo biloba extract + St Mary's thistle extract + turmeric extract + bilberry extract,31867011000036101 + 31074011000036100 + 1981011000036104 + 2643011000036109 + 31873011000036103 + 31624011000036109 + 31697011000036106 + 2532011000036107 + 1985011000036102 + 30839011000036109 + 2140011000036102 + 31759011000036100 + 30781011000036102 + 30998011000036100 + 1893011000036105 + 2297011000036108 + 2762011000036104 + 31598011000036103 + 30978011000036106 + 31529011000036100 + 2239011000036109 + 31033011000036104 + 2718011000036102 + 1889011000036109 + 1422971000168100 + 1422981000168102 + 32114011000036103 + 1422991000168104 + 730581000168103 + 1423001000168103 + 1423011000168100 + 1423021000168107 + 1380481000168107 + 1423081000168106 + 87047011000036100 + 1423091000168109 + 1337171000168107 + 1340811000168106 + 1179961000168102 + 1293941000168105 + 1177451000168100 + 1336651000168105,
phytomenadione,31759011000036100,66656000
abciximab,21887011000036100,386951001
codeine + pseudoephedrine,1978011000036103 + 2525011000036101,387494007 + 372900003
lopinavir + ritonavir,2291011000036100 + 2564011000036107,387067003 + 386896009
cetrorelix,30950011000036107,395906005
interferon alfa-2b,2802011000036101,386915008
marigold Aztec + selenium,167431000036109 + 2762011000036104,669491000168108 + 22038003
cetylpyridinium,30954011000036102,387043006
magnesium + taurine + ascorbic acid + calcium + potassium + pyridoxine,2297011000036108 + 32020011000036105 + 30781011000036102 + 1893011000036105 + 2497011000036107 + 2532011000036107,72717003 + 10944007 + 43706004 + 767178007 + 88480006 + 430469009
lisdexamfetamine,143191000036100,425597005
ofloxacin,2414011000036102,387551000
borax + colecalciferol + copper amino acid chelate + hydroxyapatite + manganese amino acid chelate + zinc amino acid chelate,30849011000036105 + 1981011000036104 + 31034011000036102 + 31368011000036103 + 31530011000036109 + 32170011000036100,"50306007 + 18414002 + None + 256579008 + 87869004,52518006 + 708658008"
corifollitropin alfa,924348011000036103,703830001
ceftaroline,117991000036100,702414006
influenza quadrivalent vaccine 2015,702421000168109,260210008
camphor,30895011000036103,111136003
insulin glulisine,2791011000036107,411530000
bromocriptine,1877011000036105,387039007
zinc oxide + lidocaine (lignocaine),2719011000036105 + 2277011000036104,
dressing foam with silicone,154451000036103,"412148004,13652007"
"amino acid formula with fat, carbohydrate without phenylalanine and tyrosine",1466861000168106,"52518006,2331003"
lumiracoxib,2293011000036104,424967004
asenapine,933218811000036109,443375003
thyrotropin alfa,2767011000036102,412520006
methylprednisolone acetate,2329011000036101,80959009
calcium polystyrene sulfonate,31790011000036101,395788004
zinc oxide + maize starch + purified talc + chlorphenesin,2719011000036105 + 2821011000036102 + 2824011000036104 + 1937011000036102,
lidocaine (lignocaine) + fluorescein,2277011000036104 + 31248011000036103,387480006 + 85596006
susoctocog alfa,932391000168104,725746009
nonacog gamma,714011000168101,873161000168105
cyanocobalamin + riboflavin + pyridoxine + thiamine + nicotinamide + calcium pantothenate + ascorbic acid + iron + calcium + zinc + folic acid + betacarotene + retinol palmitate + dl-alpha-tocopheryl acetate + magnesium + colecalciferol + citrus bioflavonoids extract + biotin + phytomenadione + iodine + copper + chromium + manganese + boron + lysine + evening primrose oil + selenium,1985011000036102 + 31873011000036103 + 2532011000036107 + 2643011000036109 + 31624011000036109 + 31695011000036101 + 30781011000036102 + 2239011000036109 + 1893011000036105 + 2718011000036102 + 2140011000036102 + 30824011000036106 + 31868011000036100 + 809501000168108 + 2297011000036108 + 1981011000036104 + 30998011000036100 + 30839011000036109 + 31759011000036100 + 1889011000036109 + 31033011000036104 + 30978011000036106 + 31529011000036100 + 932931000168102 + 2294011000036102 + 1176451000168103 + 2762011000036104,"419382002 + 13235001 + 430469009 + 61768002 + 173196005 + 126225001 + 43706004 + 3829006 + 767178007 + 86739005 + 63718003 + 103068006 + 82622003 + 116776001 + 72717003 + 18414002 + 72309009,102259006 + 8919000 + 66656000 + 44588005 + 66925006 + 111070004 + 87869004 + 70597009 + 75799006 + 412183000 + 22038003"
nintedanib,726981000168106,712494002
tranylcypromine,2681011000036101,372891006
"amino acid formula with fat, carbohydrate, vitamins, minerals and trace elements without phenylalanine and tyrosine, and supplemented with docosahexaenoic acid",83538011000036106,"52518006,2331003"
bemotrizinol + diethylamino hydroxybenzoyl hexyl benzoate + homosalate + octocrylene + titanium dioxide,684061000168107 + 684071000168101 + 75895011000036102 + 2405011000036100 + 2668011000036108,None + None + 60135007 + 69296007 + 62036000
potassium permanganate,31802011000036102,4681002
amino acid formula with carbohydrate without phenylalanine,1467901000168103,"52518006,2331003"
diphemanil,2027011000036109,373748003
ceritinib,814271000168102,703146007
hyaluronidase,31359011000036101,387280008
ciprofloxacin + hydrocortisone,1949011000036105 + 2195011000036101,372840008 + 396458002
balsalazide,1833011000036103,420557005
ethambutol,31197011000036107,387129004
bromhexine + pseudoephedrine,30860011000036109 + 2525011000036101,708561003 + 372900003
sulfacetamide,2603011000036104,372676007
hydrocortisone + miconazole,2195011000036101 + 2345011000036100,396458002 + 372738006
wool alcohols,2716011000036101,395922006
omalizumab,31648011000036100,406443008
paracetamol + codeine + phenylephrine + chlorphenamine,2442011000036104 + 1978011000036103 + 2476011000036101 + 30971011000036102,
Japanese encephalitis (mouse brain-derived) inactivated vaccine,821661000168101,121027000
dextropropoxyphene + paracetamol,2013011000036109 + 2442011000036104,387042001 + 384977007
gallium (67Ga),1194631000168107,2008008
riboflavin,31873011000036103,13235001
